transaction_id,customer_name,region,industry_segment,product_sku,order_date,quantity,revenue_usd,sales_rep,notes
B7EAD2CD,Continental Packaging Group,International,Chemical Processing,KDT-1750,2024-12-16,114,10637.2,Barbara Smith,
77220593,global pulp & paper inc,S.E.,chem,KDT-2291,07/02/2024,44,34842.97,Nancy Wilson,
CF950684,  BlueRidge Manufacturing  ,Intl.,Chemical,KDT-7201,2024-10-25,120,11012.11,Karen Garcia,
3B0ABC20,Global Pulp & Paper Inc,Intl.,Chemical,KDT-2535,"Oct 27, 2024",124,116979.2,Joseph Martin,Repeat customer
E8E3ABA3,Northern Timber Co,N.E.,Wood Products,KDT-1711,"May 31, 2024",74,11999.23,Linda Lee,Repeat customer
8A10BF7B,Global Pulp & Paper In,INTL,Wood Products,KDT-9785,2024-05-08,80,72871.78,Mary Martin,Repeat customer
5D09C0F8,Cascade Paper Products,SE,Minerals,KDT-1106,31-May-2024,129,3337.67,Jennifer Rodriguez,follow up needed
DB2E4618,  Sequoia Wood Products  ,NE,MINING,KDT-6881,22/06/2024,24,25425.66,James Rodriguez,discount applied 10%
2B413398,Global Pulp & Paper Inc,Intl.,Paper Products,KDT-4811,"Dec 10, 2024",7,123511.6,Karen Hernandez,
35E21F9F,Global Pulp & Paper Incorporated,Global,Pulp and Paper,KDT-5506,2024-08-25,78,36857.11,Patricia Brown,Urgent order
00CEDBA8,Sequoia  Wood  Products,S.W.,Wood,KDT-6574,2024-08-20,126,14218.56,David Johnson,Repeat customer
1BA37F8D,GLOBAL PULP & PAPER INC,Intl.,Food/Bev,KDT-5012,"Apr 30, 2024",71,145109.4,Patricia Thomas,
B8DDECA5,Redwood Fiber Solutions,MW,Minerals,KDT-4582,2024-11-01,196,7756.25,Daniel Miller,Urgent order
B7452D5F,global pulp & paper inc,West Coast,Mining,KDT-7201,2024-11-01,34,,Linda Martin,Repeat customer
B62B9CDE,Acme  Industrial  Corp,Northeastern,P&P,KDT-3547,05/03/2024,132,8943.49,Thomas Moore,Urgent order
D5A78833,  Sequoia Wood Products  ,International,P&P,KDT-7924,"Dec 03, 2024",176,7732.35,Thomas Williams,
05DF1E93,Global Pulp & Paper In,Pacific,Timber,KDT-3615,05-Mar-2024,136,61010.71,Charles Lee,NEW ACCOUNT
4D02C1DE,Global  Pulp  &  Paper  Inc,INTL,Chem Proc,KDT-4811,"Dec 01, 2024",87,218062.03,Joseph Anderson,
1EA8D327,global pulp & paper inc,Global,Pulp & Paper,KDT-3286,2024-05-10,111,107602.86,Susan Jones,discount applied 10%
BA462980,GLOBAL PULP & PAPER INC,South West,Lumber,KDT-4150,2024-10-14,74,290379.48,Susan Brown,
4073C64E,PACIFIC RECYCLING LLC,Mid West,Recycling,KDT-1750,03/09/2024,147,9420.68,Jessica Jackson,
4DF013D1,Continental Packaging Grou,Intl.,Pulp and Paper,KDT-4257,14/01/2024,87,25032.33,Jennifer Jones,
2CBAA53B,SUMMIT MINING ENTERPRISES,Overseas,MINING,KDT-6574,"Nov 20, 2024",88,1190.87,Barbara Hernandez,
7D4BEF9F,Atlantic Chemical Partners,Northeastern,Paper,KDT-3547,"Mar 20, 2024",125,11993.41,Jessica Rodriguez,Urgent order
AA2EEB84,Evergreen Forest Industrie,Overseas,chem,KDT-7201,08/08/2024,12,3649.8,Nancy Johnson,
E728327A,Global Pulp & Paper Incorporated,Midwest,P&P,KDT-2139,"Mar 11, 2024",45,287172.73,Karen Davis,discount applied 10%
5C3D6A8B,Pacific Recycling LLC,north-east,Paper,KDT-6635,"Jun 30, 2024",147,31262.93,Jessica Martinez,
C2DAADD6,Global Pulp and Paper Inc,South West,P&P,KDT-2679,03/28/2024,112,293096.6,Charles Williams,NEW ACCOUNT
48E5A831,sequoia wood products,N.E.,Wood Products,KDT-7224,23-Apr-2024,50,57095.52,Susan Lopez,
401B2C01,global pulp & paper inc,International,MINING,KDT-4527,11-Apr-2024,195,60474.5,Daniel Lee,Repeat customer
866345C1,  Prairie Grain Handlers  ,South West,Waste Management,KDT-5012,18/03/2024,130,-6825.689785117879,Thomas Thomas,
30834AB6,GLOBAL PULP & PAPER INC,Pacific,Food and Beverage,KDT-4527,09-Feb-2024,142,254928.65,Mary Thomas,
80E54F08,Summit Mining Enterprises,Southwest,Recycling,KDT-2519,08/31/2024,11,3392.9,Thomas Thomas,discount applied 10%
AECA586A,Pacific Recycling LLC,South West,wood prod,KDT-5012,09/07/2024,17,9591.57,Karen Wilson,Customer requested rush
72D2810C,Global Pulp & Paper Inc,N.E.,Wood,KDT-5557,04/11/2024,168,260567.06,Joseph Jones,
18BE0AB2,Cascade Paper Products,Southeastern,wood prod,KDT-3286,"Oct 13, 2024",131,3222.42,Susan Martinez,
7A2EF1ED,sequoia wood products,Southeast,Recycling,KDT-2519,05-Sep-2024,190,28699.78,Mary Hernandez,
EA046021,Global Pulp and Paper Inc,Southeastern,Chemical Processing,KDT-6574,24/03/2024,174,125819.85,Thomas Lee,Customer requested rush
C4DFE9F2,Evergreen Forest Industries,SW,Waste Management,KDT-3547,"Apr 29, 2024",197,17198.38,Joseph Moore,discount applied 10%
8B3562E4,global pulp & paper inc,Midwest,Lumber,KDT-1106,12-Apr-2024,27,64905.27,Charles Brown,Customer requested rush
66C0E872,global pulp & paper inc,Southwest,MINING,KDT-5557,2024-08-18,107,"$64,409.86",Charles Lopez,Urgent order
6FF7FF0E,Globl Pulp & Paper Inc,Intl.,Mining & Extraction,KDT-5506,24/04/2024,121,42075.19,Robert Taylor,follow up needed
F4C7EE64,continental packaging group,Pacific,Food and Beverage,KDT-9935,10/01/2024,61,34318.75,Mary Davis,NEW ACCOUNT
D6E00E2B,  Continental Packaging Group  ,Pacific,Paper Products,KDT-2519,02-Feb-2024,62,24330.49,Barbara Anderson,
0AA9DB26,Continental Packaging Grou,N.E.,Recycling,KDT-7224,01-Aug-2024,130,10841.66,Charles Jackson,
79314443,Global Pulp & Paper Inc,Middle West,Paper,KDT-4657,21/11/2024,62,152328.29,Patricia Martin,Repeat customer
DF6DE477,global pulp & paper inc,Global,Lumber,KDT-9785,06/22/2024,35,-118889.94745489198,Thomas Johnson,Customer requested rush
3E41416C,Global Pulp & Paper Incorporated,western,Food and Beverage,KDT-1434,2024-01-22,193,243411.16,Barbara Lopez,
1343488F,Prairie Grain Handlers,south-west,Chemical,KDT-1488,"Mar 04, 2024",178,3920.92,Charles Rodriguez,
D67A269D,cascade paper products,West Coast,Recycling,KDT-3286,04/11/2024,170,3099.13,Thomas Lee,NEW ACCOUNT
22176863,Global Pulp and Paper Inc,South West,Wood Products,KDT-4657,"Aug 16, 2024",94,144885.94,Jennifer Smith,
552E4E86,Oakwood Materials Inc,Intl.,Recyc.,KDT-6635,2024-08-12,155,9535.43,Thomas Lopez,Repeat customer
A819A587,Global Pulp & Paper Inc,Middle West,Recycle,KDT-9935,2024-03-11,189,40735.79,Charles Wilson,discount applied 10%
CF858A54,Global Pulp and Paper Inc,Middle West,Chemicals,KDT-9935,12/26/2024,19,238829.77,Thomas Williams,Repeat customer
13400EFC,Redwood Fiber Solutions,Southeastern,Wood,KDT-1106,08-Oct-2024,58,8499.02,Michael Jones,Urgent order
67BC1D00,  Ironworks Heavy Equipment  ,W,Food & Beverage,KDT-4657,10/10/2024,102,1661.98,Sarah Moore,NEW ACCOUNT
239EC10A,Heartland Processing Co,International,Chem Proc,KDT-2291,07-Feb-2024,89,7115.23,Karen Martin,
C53D18FB,Heartland Processing Co,N.E.,mining,KDT-1520,09/14/2024,83,1564.54,Linda Lopez,discount applied 10%
D9318B0E,Sequoia  Wood  Products,MW,Timber,KDT-8527,08-May-2024,24,64131.96,Jennifer Martin,
29D7CBFE,Global Pulp and Paper Inc,Northeast,Pulp & Paper,KDT-3045,05-Nov-2024,68,205846.71,Daniel Anderson,
504DECA1,Continental Packaging Grou,midwest,MINING,KDT-7873,"Nov 17, 2024",19,19927.48,Jennifer Thomas,NEW ACCOUNT
338EB4CE,Midwest Steel Works,Intl.,Chemicals,KDT-1750,06/11/2024,132,10747.63,Richard Davis,follow up needed
B6F109A1,Global Pulp & Paper Incorporated,S.W.,Chemicals,KDT-1520,13/03/2024,148,146499.92,Michael Garcia,follow up needed
09C31863,TIDEWATER CHEMICAL CO,S.W.,Chemicals,KDT-4582,06-Jun-2024,91,"$10,925.69",Barbara Taylor,
5E27C900,Sequoia Wood Products,north-east,mining,KDT-4150,28/08/2024,196,50662.31,Mary Wilson,
4CB58E30,Northern Timber Company,western,Food/Bev,KDT-8527,10-Oct-2024,31,2959.96,Patricia Wilson,Repeat customer
3BB06728,Ironworks Heavy Equipment,Pacific,chem,KDT-5506,2024-07-06,10,7254.93,Richard Taylor,discount applied 10%
40642A42,Midwest Steel Works,MW,chem,KDT-2139,20/09/2024,152,26718.32,Charles Jackson,follow up needed
FFC85F41,Cascade Paper Product,north-east,Food/Bev,KDT-4150,2024-01-09,153,7800.47,Daniel Martin,Urgent order
B6AC178B,Cascade Paper Products,SW,Wood,KDT-5506,28-Mar-2024,180,13840.05,James Thomas,Repeat customer
DE74572A,Global Pulp and Paper Inc,Southwest,Wood,KDT-7224,04/14/2024,144,136103.74,Sarah Moore,NEW ACCOUNT
4236FD54,Global Pulp & Paper Inc,intl,Timber,KDT-8527,"Sep 29, 2024",50,68062.0,David Jackson,Customer requested rush
64CB378B,Global Pulp & Paper Inc,intl,Chemical,KDT-6514,01/06/2024,144,295000.97,David Martinez,
5E09BDE3,northern timber co,Midwest,Recycling,KDT-5557,"Jul 21, 2024",168,6907.78,Sarah Miller,Urgent order
6C2704CE,meridian engineering services,N.E.,wood prod,KDT-9279,10/14/2024,13,3227.34,Charles Davis,Urgent order
428D3928,global pulp & paper inc,N.E.,MINING,KDT-3045,"Aug 29, 2024",123,136200.58,Barbara Hernandez,Customer requested rush
C40C1ABD,Continental Packaging Group,West,MINING,KDT-1488,2024-02-15,102,34392.13,Jennifer Martinez,
9195B039,Acme Industrial Corp,midwest,wood prod,KDT-7224,"Feb 24, 2024",35,17094.0,Thomas Rodriguez,Urgent order
632138A7,lakeside pulp mills,Northeastern,recycling,KDT-6635,08/22/2024,45,5757.34,Joseph Anderson,discount applied 10%
E645D9C1,global pulp & paper inc,South West,Mining,KDT-1434,"Feb 18, 2024",61,132662.5,David Hernandez,Customer requested rush
F4A62D82,Atlantic Chemical Partners,Northeastern,P&P,KDT-7873,05/13/2024,104,8073.94,Barbara Brown,Customer requested rush
982199E5,  Global Pulp & Paper Inc  ,Overseas,Recyc.,KDT-5803,09-Mar-2024,121,81588.42,Michael Davis,
F3C3F595,Sequoia Wood Products,N.E.,Pulp & Paper,KDT-6881,16-Aug-2024,52,10438.27,Robert Garcia,Repeat customer
32388001,Oakwood Materials Inc,Southwest,Food and Beverage,KDT-5012,"Dec 14, 2024",34,6510.64,Thomas Martin,
F5306E66,Pacific Recycling LLC,Midwest,Wood,KDT-5333,2024-06-06,12,31463.76,John Jackson,
7007B200,sequoia wood products,Southeastern,Lumber,KDT-1106,"Aug 29, 2024",115,9535.17,Joseph Wilson,
0388A247,BlueRidge Manufacturing,NE,Food and Beverage,KDT-7224,10/03/2024,187,14214.76,James Smith,Customer requested rush
D421AB96,Midwest Steel Works,south east,Recycle,KDT-4257,08/05/2024,186,31198.33,Mary Anderson,
738C81D7,HEARTLAND PROCESSING CO,N.E.,P&P,KDT-1711,2024-01-09,63,7598.24,Joseph Thomas,Urgent order
B7C22E61,Pacific Recycling LLC,Southeastern,Food/Bev,KDT-6635,29-Jan-2024,198,34936.69,Richard Davis,Customer requested rush
2536FF84,Sequoia Wood Products,Midwest,food & bev,KDT-2139,09/23/2024,161,73953.57,Karen Taylor,
E1720196,Tidewater  Chemical  Co,Middle West,Chem Proc,KDT-7912,09/12/2024,97,20648.99,Karen Taylor,Urgent order
779F982F,  Oakwood Materials Inc  ,N.E.,Chem Proc,KDT-6881,28-Dec-2024,35,4704.02,David Miller,Repeat customer
0A020C3C,Continental Packaging Group,North East,chem,KDT-1711,2024-07-08,19,34896.37,Daniel Jackson,Urgent order
7420C51B,Midwest Steel Works,SE,Wood Products,KDT-2139,"Jun 19, 2024",63,37169.11,Michael Wilson,Urgent order
92CC18AB,Pacific Recycling LL,Mid-West,recycling,KDT-2519,"Jul 13, 2024",120,35835.72,Sarah Hernandez,Urgent order
B474056F,global pulp & paper inc,North East,food & bev,KDT-5333,"Oct 15, 2024",76,136379.02,Richard Davis,NEW ACCOUNT
D0A8C184,Northern Timber C,Mid-West,Chem Proc,KDT-4527,10/08/2024,188,3538.48,Jennifer Jones,discount applied 10%
3EB3D0D6,Midwest Steel Works,West,Paper Products,KDT-5012,2024-10-04,106,39052.13,Linda Williams,
5243B9EF,Acme Industrial Cor,Southwest,pulp/paper,KDT-6881,"Jul 10, 2024",4,,David Jackson,Customer requested rush
CE788F7B,acme industrial corp,Northeast,F&B,KDT-9279,12/11/2024,159,23698.45,Susan Rodriguez,NEW ACCOUNT
F5A77C6E,Global Pulp & Paper Inc,Middle West,Paper Products,KDT-3045,2024-08-23,24,291138.05,Joseph Jackson,follow up needed
D9B6F9E3,Global Pulp & Paper Inc,Intl.,Food & Beverage,KDT-7224,2024-03-28,59,21599.68,Daniel Taylor,Customer requested rush
209FC065,Global Pulp and Paper Inc,International,mining,KDT-1409,05/23/2024,151,40015.76,Joseph Williams,Customer requested rush
0D4B0B43,Global  Pulp  &  Paper  Inc,midwest,Wood,KDT-5803,2024-07-18,129,87156.83,Susan Johnson,
204AE9AA,Global Pulp and Paper Inc,western,Recycling,KDT-9785,23/06/2024,116,256908.81,Susan Jackson,NEW ACCOUNT
C54C0107,Global Pulp and Paper Inc,MW,Wood Products,KDT-3286,04/12/2024,40,211795.09,Robert Wilson,Repeat customer
D55C5553,Global Pulp & Paper Incorporated,NE,Pulp and Paper,KDT-5552,"Jun 06, 2024",143,44888.77,Jessica Brown,
21D3BAD9,Global Pulp & Paper Inc,Southwest,Recyc.,KDT-3615,2024-11-01,186,176189.02,Linda Martin,discount applied 10%
31AF7C97,Global Pulp & Paper Incorporated,SW,Pulp and Paper,KDT-5552,12/03/2024,108,126958.38,John Lopez,Customer requested rush
4AA59938,Sequoia Wood Products,Southwest,mining,KDT-2824,"Sep 10, 2024",86,55345.32,Joseph Hernandez,follow up needed
08E98A72,global pulp & paper inc,Mid-West,F&B,KDT-6514,29/11/2024,46,250325.57,Richard Martinez,follow up needed
AB5E5D0E,Sequoia Wood Products,Midwest,F&B,KDT-5333,15-Jun-2024,47,59637.29,Karen Smith,follow up needed
1A6B95B4,SEQUOIA WOOD PRODUCTS,south-west,mining,KDT-9279,29/05/2024,169,19417.73,Jessica Wilson,
E02BA016,Midwest  Steel  Works,Global,Food & Beverage,KDT-1106,25-Oct-2024,153,26387.72,John Brown,Urgent order
C2925594,Summit Mining Enterprises,intl,Lumber,KDT-1750,27/11/2024,111,3685.54,Patricia Rodriguez,Urgent order
96CD26C8,Pacific Recycling LLC,South West,Chem Proc,KDT-4733,24-Oct-2024,177,24912.16,Susan Smith,follow up needed
F0542EA3,global pulp & paper inc,Mid-West,Recyc.,KDT-4582,13-Feb-2024,124,136959.4,Patricia Thomas,follow up needed
CC0E6A89,Global Pulp & Paper Inc,International,Wood,KDT-2139,12/29/2024,133,104123.98,Jennifer Hernandez,discount applied 10%
B5F43C8A,global pulp & paper inc,intl,Chem Proc,KDT-1409,26-Jul-2024,51,150035.17,Jessica Wilson,
4FDBAC75,BLUERIDGE MANUFACTURING,West,F&B,KDT-1106,26/12/2024,51,5316.46,David Taylor,discount applied 10%
F1F77E68,Sequoia Wood Products,North East,Recyc.,KDT-8527,07/17/2024,173,26709.04,Barbara Lee,
52E0E87A,GLOBAL PULP & PAPER INC,South East,Wood,KDT-2519,"Mar 01, 2024",108,56928.38,Daniel Wilson,NEW ACCOUNT
0A42E521,global pulp & paper inc,W,Chemical,KDT-2424,12/21/2024,81,199254.38,Nancy Johnson,Repeat customer
A798991D,Sequoia  Wood  Products,western,Chem Proc,KDT-6574,"Apr 09, 2024",126,38740.27,Daniel Smith,Urgent order
7417A990,  Global Pulp & Paper Inc  ,western,food & bev,KDT-9935,02-Oct-2024,30,96913.05,Karen Lopez,discount applied 10%
76D48A35,Lakeside Pulp Mills,Northeastern,Wood,KDT-7873,2024-08-13,116,1568.86,John Thomas,
604997AC,Heartland Processing Co,Global,Minerals,KDT-2424,10/28/2024,53,2427.26,Daniel Lopez,discount applied 10%
72A20028,Global Pulp & Paper Incorporated,Mid West,Waste Management,KDT-2291,2024-06-14,35,171804.42,Jessica Johnson,Customer requested rush
047E4C54,Prairie Grain Handlers,Southeastern,Chem Proc,KDT-7912,08-Mar-2024,162,1903.99,Jessica Wilson,follow up needed
71696B76,Global Pulp & Paper Incorporated,Intl.,Chem Proc,KDT-4611,17-Feb-2024,1,244401.35,John Thomas,Repeat customer
B6DBD75A,Oakwood Materials Inc,south east,recycling,KDT-9928,22/07/2024,141,11040.98,Daniel Taylor,Repeat customer
168A5C23,  Sequoia Wood Products  ,Northeast,MINING,KDT-4527,2024-01-24,110,58251.46,Robert Martinez,
B1A22E27,Sequoia Wood Products,North East,Wood,KDT-5012,"Feb 17, 2024",161,66286.65,Linda Anderson,
9342E6CA,BlueRidge Manufacturing,western,Pulp & Paper,KDT-5803,01/09/2024,31,1322.09,Jessica Jones,follow up needed
CAFDD1B6,Global Pulp & Paper Inc,MW,Chemicals,KDT-3045,02/22/2024,18,127621.8,James Lee,
22C4C7C5,Global Pulp & Paper Inc,western,Mining,KDT-2679,11/17/2024,193,223922.62,Joseph Lopez,NEW ACCOUNT
158AC57C,Global Pulp & Paper Inc,Pacific,food & bev,KDT-9928,2024-05-21,169,58597.64,Michael Moore,
F3570404,Pacific Recycling LLC,south-west,Pulp and Paper,KDT-2674,31-May-2024,19,34658.32,James Lopez,Repeat customer
A3DF7DBD,Global  Pulp  &  Paper  Inc,INTL,Chemical Processing,KDT-1409,18-Oct-2024,18,,Michael Johnson,
4773E861,Sequoia  Wood  Products,south-west,Lumber,KDT-3286,26-May-2024,138,32652.17,David Williams,Customer requested rush
56610051,Global Pulp & Paper Inc,West,Recyc.,KDT-4150,03/20/2024,15,280248.96,Jessica Brown,follow up needed
2588D51B,continental packaging group,Northeast,Wood,KDT-5803,2024-12-07,42,4294.42,Susan Moore,discount applied 10%
C448538D,Ironworks Heavy Equipment,International,Paper,KDT-5552,26/03/2024,135,-14079.456582276447,Daniel Williams,follow up needed
E914ECD6,midwest steel works,MW,Recycling,KDT-6635,2024-09-12,59,16945.56,James Johnson,
E66E58D3,global pulp & paper inc,N.E.,Lumber,KDT-4811,15/07/2024,64,152790.7,Richard Rodriguez,
50BD8E21,northern timber co,S.E.,P&P,KDT-4657,"Dec 10, 2024",73,2107.56,Barbara Hernandez,
E09B6810,Pacific Recycling LLC,Overseas,MINING,KDT-1106,12-Apr-2024,127,3175.84,Michael Jackson,Urgent order
DD6A4770,Global Pulp & Paper Inc,intl,Paper,KDT-2824,"Jan 13, 2024",189,283504.56,Patricia Miller,discount applied 10%
08A26420,tidewater chemical co,Intl.,Pulp & Paper,KDT-4811,31-Jan-2024,106,9963.15,Susan Thomas,
DEA23668,ATLANTIC CHEMICAL PARTNERS,Pacific,P&P,KDT-7201,11/22/2024,61,7222.42,Richard Wilson,Repeat customer
74E08690,global pulp & paper inc,West,Mining,KDT-1520,"Feb 08, 2024",120,96090.96,Patricia Jackson,Repeat customer
17424581,SEQUOIA WOOD PRODUCTS,NE,Timber,KDT-6925,06-Jun-2024,11,19276.33,Richard Jones,
0C47F40B,Cascade Paper Product,Mid-West,Mining,KDT-7924,"Jul 21, 2024",143,22032.6,Linda Brown,follow up needed
F3BB34EB,global pulp & paper inc,south east,Recycling,KDT-5333,03-Mar-2024,67,244177.49,John Smith,
